YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,VX,922,N361VA,SFO,LAX,645,638,-7,9,647,80,71,54,337,741,8,805,749,-16,0,0,,,,,,
2015,1,1,4,VX,399,N852VA,JFK,LAX,700,655,-5,18,713,385,392,360,2475,1013,14,1025,1027,2,0,0,,,,,,
2015,1,1,4,VX,897,N845VA,LAS,SFO,700,659,-1,13,712,85,80,61,414,813,6,825,819,-6,0,0,,,,,,
2015,1,1,4,VX,12,N842VA,SFO,JFK,705,702,-3,10,712,329,320,299,2586,1511,11,1534,1522,-12,0,0,,,,,,
2015,1,1,4,VX,404,N621VA,LAX,JFK,730,728,-2,7,735,320,284,268,2475,1503,9,1550,1512,-38,0,0,,,,,,
2015,1,1,4,VX,474,N525VA,LAX,LAS,750,745,-5,8,753,70,59,47,236,840,4,900,844,-16,0,0,,,,,,
2015,1,1,4,VX,1493,N855VA,LAS,LAX,800,802,2,15,817,70,62,39,236,856,8,910,904,-6,0,0,,,,,,
2015,1,1,4,VX,174,N624VA,SFO,EWR,800,754,-6,12,806,330,305,285,2565,1551,8,1630,1559,-31,0,0,,,,,,
2015,1,1,4,VX,1930,N838VA,SFO,LAX,800,759,-1,14,813,80,75,53,337,906,8,920,914,-6,0,0,,,,,,
2015,1,1,4,VX,1,N837VA,SFO,DCA,800,752,-8,11,803,300,286,271,2442,1534,4,1600,1538,-22,0,0,,,,,,
2015,1,1,4,VX,219,N843VA,AUS,SFO,800,759,-1,14,813,240,225,202,1504,935,9,1000,944,-16,0,0,,,,,,
2015,1,1,4,VX,501,N629VA,JFK,FLL,800,756,-4,23,819,185,182,154,1069,1053,5,1105,1058,-7,0,0,,,,,,
2015,1,1,4,VX,162,N637VA,LAX,EWR,810,810,0,8,818,320,297,280,2454,1558,9,1630,1607,-23,0,0,,,,,,
2015,1,1,4,VX,108,N627VA,LAX,IAD,820,816,-4,9,825,285,263,248,2288,1533,6,1605,1539,-26,0,0,,,,,,
2015,1,1,4,VX,340,N631VA,SFO,FLL,820,816,-4,17,833,320,327,305,2583,1638,5,1640,1643,3,0,0,,,,,,
2015,1,1,4,VX,360,N641VA,LAX,BOS,830,826,-4,9,835,320,296,281,2611,1616,6,1650,1622,-28,0,0,,,,,,
2015,1,1,4,VX,312,N854VA,LAX,MCO,840,841,1,10,851,280,277,256,2218,1607,11,1620,1618,-2,0,0,,,,,,
2015,1,1,4,VX,1903,N524VA,LAS,SFO,900,923,23,11,934,95,83,65,414,1039,7,1035,1046,11,0,0,,,,,,
2015,1,1,4,VX,902,N529VA,SFO,LAS,900,853,-7,10,903,90,90,70,414,1013,10,1030,1023,-7,0,0,,,,,,
2015,1,1,4,VX,953,N528VA,SAN,SFO,905,900,-5,15,915,90,85,67,447,1022,3,1035,1025,-10,0,0,,,,,,
2015,1,1,4,VX,935,N361VA,LAX,SFO,910,906,-4,7,913,80,71,56,337,1009,8,1030,1017,-13,0,0,,,,,,
2015,1,1,4,VX,500,N635VA,FLL,JFK,915,913,-2,12,925,160,165,146,1069,1151,7,1155,1158,3,0,0,,,,,,
2015,1,1,4,VX,22,N845VA,SFO,JFK,920,1016,56,17,1033,339,329,301,2586,1834,11,1759,1845,46,0,0,,0,0,46,0,0
2015,1,1,4,VX,84,N841VA,SFO,IAD,920,917,-3,17,934,300,293,268,2419,1702,8,1720,1710,-10,0,0,,,,,,
2015,1,1,4,VX,231,N839VA,ORD,LAX,925,925,0,12,937,270,269,246,1744,1143,11,1155,1154,-1,0,0,,,,,,
2015,1,1,4,VX,352,N846VA,SFO,BOS,930,925,-5,11,936,335,326,305,2704,1741,10,1805,1751,-14,0,0,,,,,,
2015,1,1,4,VX,783,N525VA,LAS,LAX,945,947,2,13,1000,70,59,41,236,1041,5,1055,1046,-9,0,0,,,,,,
2015,1,1,4,VX,753,N640VA,SEA,SFO,950,958,8,9,1007,125,115,99,679,1146,7,1155,1153,-2,0,0,,,,,,
2015,1,1,4,VX,69,N636VA,IAD,SFO,1000,959,-1,29,1028,355,362,328,2419,1256,5,1255,1301,6,0,0,,,,,,
2015,1,1,4,VX,956,N633VA,SFO,SAN,1000,957,-3,21,1018,90,93,65,447,1123,7,1130,1130,0,0,0,,,,,,
2015,1,1,4,VX,879,N526VA,DAL,LAX,1005,1002,-3,10,1012,190,189,172,1246,1104,7,1115,1111,-4,0,0,,,,,,
2015,1,1,4,VX,232,N844VA,LAX,ORD,1010,1007,-3,7,1014,240,227,208,1744,1542,12,1610,1554,-16,0,0,,,,,,
2015,1,1,4,VX,334,N838VA,LAX,FLL,1015,1012,-3,9,1021,285,287,265,2342,1746,13,1800,1759,-1,0,0,,,,,,
2015,1,1,4,VX,187,N630VA,EWR,SFO,1030,1030,0,14,1044,395,373,349,2565,1333,10,1405,1343,-22,0,0,,,,,,
2015,1,1,4,VX,23,N836VA,JFK,SFO,1030,1021,-9,20,1041,390,408,381,2586,1402,7,1400,1409,9,0,0,,,,,,
2015,1,1,4,VX,218,N840VA,SFO,AUS,1035,1026,-9,11,1037,205,211,194,1504,1551,6,1600,1557,-3,0,0,,,,,,
2015,1,1,4,VX,406,N835VA,LAX,JFK,1040,1101,21,9,1110,325,312,291,2475,1901,12,1905,1913,8,0,0,,,,,,
2015,1,1,4,VX,766,N530VA,DAL,LGA,1045,1039,-6,15,1054,190,183,160,1381,1434,8,1455,1442,-13,0,0,,,,,,
2015,1,1,4,VX,112,N855VA,LAX,IAD,1050,1045,-5,9,1054,285,255,240,2288,1754,6,1835,1800,-35,0,0,,,,,,
2015,1,1,4,VX,784,N847VA,SEA,LAX,1055,1050,-5,8,1058,150,148,132,954,1310,8,1325,1318,-7,0,0,,,,,,
2015,1,1,4,VX,1351,N851VA,BOS,SFO,1100,1117,17,11,1128,410,388,371,2704,1439,6,1450,1445,-5,0,0,,,,,,
2015,1,1,4,VX,330,N634VA,SFO,LAX,1110,1102,-8,17,1119,80,77,55,337,1214,5,1230,1219,-11,0,0,,,,,,
2015,1,1,4,VX,1205,N642VA,ORD,SFO,1115,1113,-2,13,1126,280,275,254,1846,1340,8,1355,1348,-7,0,0,,,,,,
2015,1,1,4,VX,905,N529VA,LAS,SFO,1115,1111,-4,16,1127,95,84,62,414,1229,6,1250,1235,-15,0,0,,,,,,
